I,ID,ID1,LONV,LATV,COG_G,DA,CO_STOCK,DEM,AnalyticalHillshading,Slope,Aspect,CrossSectionalCurvature,LongitudinalCurvature,CovergenceIndex,ClosedDepressions,FlowAccumulation,TopographicWetnessIndex,LSFactor,ChannelNetworkBaseLevel,VerticalDistanceToChannelNetwork,ValleyDepth,RelativeSlopePosition,DEMSRE3a,etmnts3a,evmmod3a,g01igb3a,g02esa3a,g02igb3a,g03esa3a,g04esa3a,g04igb3a,g05esa3a,g06esa3a,g10igb3a,g11esa3a,g11igb3a,g12igb3a,g14esa3a,g15esa3a,g16esa3a,g18esa3a,g19esa3a,g21esa3a,gacgem3a,gachws3a,galhws3a,garhws3a,gcmhws3a,geaisg3a,gflhws3a,gfrhws3a,gglhws3a,ghshws3a,gkshws3a,glcesa3a,glcjrc3a,glphws3a,glvhws3a,glwwwf3a,glxhws3a,gphhws3a,gplhws3a,grghws3a,gsnhws3a,gsthws3a,gumhws3a,gvrhws3a,iflgre3a,inmsre3a,inssre3a,l02igb3a,l04igb3a,l05igb3a,l06igb3a,l07igb3a,l08igb3a,l09igb3a,l10igb3a,l11igb3a,l12igb3a,l13igb3a,l14igb3a,l3pobi3b,lammod3a,lasmod3a,ln1dms3a,ln2dms3a,lnmdms3a,opisre3a,px1wcl3a,px2wcl3a,px3wcl3a,px4wcl3a,SLPSRT3a,smkisr3a,tdhmod3a,tdlmod3a,tdmmod3a,tdsmod3a,tnhmod3a,tnlmod3a,tnmmod3a,tnsmod3a,twisre3a,tx1mod3a,tx2mod3a,tx3mod3a,tx4mod3a,tx5mod3a,tx6mod3a,wmkmod3a,precivs,dem30vs,ndvivs,tempovs,tempevs,acrisolvs,alisolvs,drenajevs,suelostvs,cober1vs,geolovs,arenovs,cambivs,ferravs,fluvivs,gleyvs,histo1vs,histo2vs,leptovs,luvivs,Phaevs
276,13,13,-67.9310,10.0870,14.825,1.4,6.23,423.9722187,0.528010428,0.202273577,4.712388992,-62406.52734,-212290.3438,3.071872711,25.36533546,0.013295406,2.744666338,1.461447835,449.2330933,0.10446167,962.90625,0.000108474,424,12433,4219,13,0,13,50,50,13,0,0,13,0,13,13,0,0,0,0,0,0,15,0,0,0,0,72,0,0,0,0,100,30,13,0,0,0,0,0,0,0,0,0,0,0,0,34,21.12597275,0,0,0,0,0,0,0,0,0,0,100,0,6,16,6,-258,13,58,1554,36,26,171,160,0,2,38,17,29,4,22,16,20,1,126,30,36,31,28,28,29,0,1178,435.255188,6962,25.99500084,246,0,0,50,8,13,111,0,0,0,0,0,0,0.559300005,0,0,0
292,14,14,-70.0800,10.0110,8.175,1.35,3.31,534.8887873,2.280807257,1.569997191,2.75366354,-38053.71094,-382956.4375,0.246035844,6.69E-06,0.007451047,-6.20416832,11.23889446,523.6201172,11.26867676,1262.733887,0.008845097,518,13544,4276,14,0,12,75,25,14,0,0,14,0,14,14,0,0,0,0,0,0,19,0,0,0,35,11,0,0,0,0,0,20,1,40,0,0,0,0,0,0,0,0,25,0,0,35,21.07781029,0,0,0,0,0,0,0,0,0,20,0,80,5,18,7,NA,-1,NA,1519,64,52,58,103,6,1,34,23,28,3,22,15,20,2,109,27,31,31,32,33,29,0,830,521,5085,25.36450005,246,0,0,42,6,14,111,0,35,0,0,0,0,0.215100005,40,0,0
308,15,15,-70.0250,10.0830,10.152,1.4,4.26,620.8610948,0.847415864,1.570677161,5.138278484,69546.92969,-158392.0469,4.496899605,-1.08E-05,0.000280009,-12.96299458,4.25552845,537.8547363,83.00634766,1090.509277,0.070733055,609,11398,3497,10,0,10,0,0,9,100,0,9,0,9,9,0,0,0,0,0,0,34,0,0,0,35,11,0,0,0,0,0,40,16,40,0,0,0,0,0,0,0,0,25,0,0,33,21.52284813,0,0,0,0,0,0,60,40,0,0,0,0,5,12,8,-6,-4,2,1537,68,53,65,107,20,1,38,19,30,4,24,18,21,2,107,29,34,33,36,36,29,0,877,710,5908,24.13599968,251,0,0,42,6,8,55,0,35,0,0,0,0,0,40,0,0
271,16,16,-70.0370,10.2570,9.478,1.35,3.84,417.7499606,1.395111322,0.205083698,2.973549604,-3508.101807,-37300.39453,4.996948242,31.14155006,0.006565493,1.490089297,1.160715818,447.8829956,1.008514404,1052.748535,0.000957065,420,9743,2618,10,0,10,0,0,7,0,0,10,50,14,14,50,0,0,0,0,0,39,0,0,0,35,80,0,0,0,0,0,110,13,40,0,0,0,0,0,0,0,0,25,0,0,35,21.13697624,0,0,0,0,20,0,0,60,0,0,0,20,5,8,3,-27,3,6,1562,51,31,40,83,3,1,38,21,32,4,26,15,23,2,132,31,35,36,37,38,32,0,613,410,3419,26.08600044,258,0,0,10,2,8,111,0,35,0,0,0,0,0,40,0,0
274,17,17,-69.6890,10.9300,13.722,1.4,5.76,409.8054286,2.081947327,1.570518374,3.162905931,51623.80469,-74989.53125,3.128286839,-8.63E-06,0.000267784,-12.41758251,4.006484032,251.6238556,158.1815643,784.998291,0.16771093,410,10386,3258,14,0,10,25,0,10,50,0,12,0,9,9,25,0,0,0,0,0,51,0,0,0,100,80,0,0,0,0,0,40,13,0,0,0,0,0,0,0,0,0,0,0,0,35,21.00352097,0,0,0,0,0,0,20,40,0,20,0,20,6,10,5,2,NA,NA,1545,57,26,72,76,7,1,35,20,28,3,23,15,21,2,109,27,31,33,30,33,29,0,700,409,4703,26.09250069,244,0,0,10,6,12,130,0,100,0,0,0,0,0,0,0,0
60,18,18,-69.7850,11.3760,7.337,1.35,2.97,31.22225767,1.048108101,1.569596291,0.001999783,-10590.98242,-40195.29688,-1.421018958,-5.47E-08,0.000806219,-9.249292374,5.635239601,24.71126366,6.510993958,938.7077637,0.006888346,31,6693,2465,7,0,10,0,100,10,0,0,7,0,7,14,0,0,0,0,0,0,25,0,0,0,80,72,20,0,0,0,0,30,16,0,0,0,0,0,0,0,0,0,0,0,0,33,20.78342819,0,0,0,0,60,0,0,40,0,0,0,0,7,6,3,-17,-1,4,1562,51,12,30,57,2,1,42,22,34,4,27,21,24,1,127,33,37,39,36,40,35,0,449,39,2159,28.49749947,278,0,0,10,6,10,111,0,80,0,20,0,0,0,0,0,0
84,19,19,-70.6430,11.0540,6.3,1.35,2.55,63.33334428,1.920689583,1.568898797,1.292062521,-20483.04688,-5006.553711,-12.14799786,-7.75E-07,0.00074508,-9.216527939,5.175576687,61.40058136,1.932762146,541.7722168,0.003554799,62,7833,3191,12,0,10,50,0,10,0,0,14,25,14,9,25,0,0,0,0,0,119,0,0,0,100,72,0,0,0,0,0,20,13,0,0,0,0,0,0,0,0,0,0,0,0,34,20.69944191,0,0,0,0,0,0,0,40,0,20,0,40,7,10,5,-22,NA,5,1566,28,12,56,95,1,1,39,24,32,3,28,19,24,2,130,33,37,35,35,36,31,0,573,61,3969,28.35449982,277,0,0,10,6,10,111,0,100,0,0,0,0,0,0,0,0
122,20,20,-72.5320,10.0790,1.777,1.5,0.8,82.77777524,2.266232252,1.564323783,1.923250318,-39741.80469,-17058.39258,-27.2559948,3.38E-06,0.013694403,-4.385101318,10.64196873,82.77777863,0,1753.909424,0,83,13649,4843,9,0,9,0,100,9,0,0,9,0,9,14,0,0,0,0,0,0,110,100,0,0,0,80,0,0,0,0,0,30,16,0,0,0,0,0,0,0,0,0,0,0,0,34,20.70670128,0,0,0,0,0,0,100,0,0,0,0,0,7,40,22,-153,4,35,1562,72,68,165,176,0,1,34,21,30,3,25,14,22,2,134,30,36,28,30,31,29,0,1446,87,4396,28.18549919,275,100,0,31,3,9,111,0,0,0,0,0,0,1.082499981,0,0,0
193,21,21,-66.9970,9.4490,8.567,1.35,3.47,159.999998,2.334380627,1.563097835,2.557149887,-34558.86719,-58820.08594,-19.92785072,1.98E-06,0.099448361,-2.690069437,14.42709923,159.6533203,0.346679688,378.5192871,0.000915046,160,8936,3968,14,0,9,0,0,9,0,0,14,25,14,9,75,0,0,0,0,0,90,0,0,0,0,80,0,0,30,0,0,140,13,0,0,0,0,0,0,0,0,0,0,70,0,34,20.80093956,0,0,0,0,0,0,40,0,0,0,0,60,7,9,4,-23,-1,5,1566,27,16,189,140,0,1,41,24,30,4,24,21,22,1,133,31,38,36,30,28,30,0,1119,158.010498,5349,27.72400093,270,0,0,31,3,9,111,0,0,0,0,30,0,0,0,0,0
187,22,22,-69.1380,9.5220,5.248,1.45,2.28,158.0277854,2.168891668,1.568753719,1.70739758,6901.46582,-3480.323242,2.461862326,8.79E-07,0.006489723,-6.97837019,7.979270935,156.8071899,1.220596313,416.4318848,0.002922517,158,14588,4698,12,0,14,25,25,14,25,0,14,0,14,12,25,0,0,0,0,0,9,25,0,0,30,72,0,0,0,0,0,30,18,0,45,0,0,0,0,0,0,0,0,0,0,34,20.80910683,0,0,0,0,0,0,0,0,0,20,0,80,7,18,9,-35,-1,8,1569,42,38,223,167,1,1,40,22,31,5,24,20,22,1,135,32,39,35,27,28,30,0,1414,154,4078,27.75,268,25,0,31,7,14,111,0,30,0,0,0,0,1.421800017,0,45,0
