I,ID,ID1,LONV,LATV,COG_G,DA,CO_STOCK,DEM,AnalyticalHillshading,Slope,Aspect,CrossSectionalCurvature,LongitudinalCurvature,CovergenceIndex,ClosedDepressions,FlowAccumulation,TopographicWetnessIndex,LSFactor,ChannelNetworkBaseLevel,VerticalDistanceToChannelNetwork,ValleyDepth,RelativeSlopePosition,DEMSRE3a,etmnts3a,evmmod3a,g01igb3a,g02esa3a,g02igb3a,g03esa3a,g04esa3a,g04igb3a,g05esa3a,g06esa3a,g10igb3a,g11esa3a,g11igb3a,g12igb3a,g14esa3a,g15esa3a,g16esa3a,g18esa3a,g19esa3a,g21esa3a,gacgem3a,gachws3a,galhws3a,garhws3a,gcmhws3a,geaisg3a,gflhws3a,gfrhws3a,gglhws3a,ghshws3a,gkshws3a,glcesa3a,glcjrc3a,glphws3a,glvhws3a,glwwwf3a,glxhws3a,gphhws3a,gplhws3a,grghws3a,gsnhws3a,gsthws3a,gumhws3a,gvrhws3a,iflgre3a,inmsre3a,inssre3a,l02igb3a,l04igb3a,l05igb3a,l06igb3a,l07igb3a,l08igb3a,l09igb3a,l10igb3a,l11igb3a,l12igb3a,l13igb3a,l14igb3a,l3pobi3b,lammod3a,lasmod3a,ln1dms3a,ln2dms3a,lnmdms3a,opisre3a,px1wcl3a,px2wcl3a,px3wcl3a,px4wcl3a,SLPSRT3a,smkisr3a,tdhmod3a,tdlmod3a,tdmmod3a,tdsmod3a,tnhmod3a,tnlmod3a,tnmmod3a,tnsmod3a,twisre3a,tx1mod3a,tx2mod3a,tx3mod3a,tx4mod3a,tx5mod3a,tx6mod3a,wmkmod3a,precivs,dem30vs,ndvivs,tempovs,tempevs,acrisolvs,alisolvs,drenajevs,suelostvs,cober1vs,geolovs,arenovs,cambivs,ferravs,fluvivs,gleyvs,histo1vs,histo2vs,leptovs,luvivs,Phaevs
323,84,391,-68.2278,10.3152,15.036,1.5,6.77,999.9718064,0.947947264,1.570759535,4.897148132,224273.25,-22907.03516,1.885253429,-4.69E-06,0.000161399,-14.68916893,3.811531305,298.1190491,701.8527832,495.3869629,0.586225748,1005,13716,4776,2,0,2,0,0,2,100,0,2,0,2,2,0,0,0,0,0,0,397,0,0,0,70,37,0,0,0,0,0,40,1,0,30,0,0,0,0,0,0,0,0,0,0,30,21.94817924,100,0,0,0,0,0,0,0,0,0,0,0,5,27,25,-21,1,5,1499,52,34,147,126,62,1,26,18,22,2,21,14,18,2,63,21,23,22,22,23,20,0,1034,933,8613,22.68650055,218,0,0,42,5,2,123,0,70,0,0,0,0,0.161899999,0,30,0
162,87,86,-63.571,9.779,2.275,1.55,1.06,125.0832393,1.94011879,1.570290685,3.391068459,-21219.62891,-281757.8125,-28.21633339,-2.56E-06,0.000742208,-10.54287052,5.171591282,113.1985168,11.88471985,472.0046387,0.02456082,127,13097,4991,14,0,14,75,0,14,25,0,14,0,14,14,0,0,0,0,0,0,61,40,0,0,0,72,0,60,0,0,0,40,17,0,0,0,0,0,0,0,0,0,0,0,0,34,20.74324226,0,0,0,0,0,0,0,0,0,0,0,100,7,34,24,-81,-40,18,1556,54,18,138,110,5,1,32,22,27,2,24,13,21,2,122,26,32,31,26,27,26,0,958,129,7119,27.91250038,263,40,0,32,3,12,111,0,0,60,0,0,0,0,0,0,0
35,101,100,-65.965,10.249,7.973,1.4,3.35,16.8611159,0.88365525,1.565328479,5.958554745,12199.43652,-16363.28223,7.456204891,5.10E-07,0.000427495,-8.367163658,4.963635445,14.47121143,2.389904976,941.6262207,0.002531636,16,18069,5442,14,0,14,0,100,14,0,0,8,0,8,8,0,0,0,0,0,0,74,0,0,0,70,72,0,0,0,0,0,30,17,0,30,0,0,0,0,0,0,0,0,0,0,33,20.69725037,0,0,0,0,0,40,0,0,0,0,0,60,7,24,14,-51,2,12,1569,163,46,162,160,1,1,29,22,26,2,24,8,20,3,129,24,26,28,27,26,25,0,1565,13.00220013,7597,28.67300034,277,0,0,50,5,14,111,0,70,0,0,0,0,6.215099812,0,30,0
203,105,104,-70.123,8.707,6.685,1.4,2.81,166.9722231,2.179588795,1.566056609,1.729451776,-16294.29785,-17444.7168,-7.498315811,5.91E-06,0.003727622,-6.691063404,7.14166069,166.6421814,0.330047607,1264.835449,0.000260873,167,11667,4413,10,0,10,25,75,10,0,0,9,0,9,9,0,0,0,0,0,0,36,25,0,0,30,72,0,0,0,0,0,30,18,0,45,0,0,0,0,0,0,0,0,0,0,34,20.82359123,0,0,0,0,0,0,40,60,0,0,0,0,7,13,8,-26,1,6,1561,45,37,227,172,0,1,42,22,30,5,25,14,22,2,130,32,39,32,28,29,29,0,1435,166.0052948,5443,27.67200089,270,25,0,21,7,9,111,0,30,0,0,0,0,1.640799999,0,45,0
86,132,131,-64.558,9.994,15.093,1.4,6.34,93.11135214,0.895858109,1.570665121,5.98500824,-169050.5,-61431.67969,-16.84539223,-1.12E-06,0.000152665,-13.47331905,3.769353151,62.66256332,30.44878769,762.6088867,0.038394164,67,15480,4834,8,0,8,0,50,14,50,0,14,0,14,4,0,0,0,0,0,0,22,0,0,0,60,80,0,0,0,0,0,30,18,0,40,0,0,0,0,0,0,0,0,0,0,32,20.98826027,0,0,0,0,0,40,0,0,0,0,0,60,7,28,17,-20,-5,5,1519,52,16,131,144,23,1,36,24,28,3,24,18,22,1,118,27,34,35,29,28,27,0,1028,61,6878,28.35449982,265,0,0,42,5,14,130,0,60,0,0,0,0,0.554499984,0,40,0
206,140,139,-69.25,10.536,8.67,1.4,3.64,201.5278541,0.827088773,1.570440054,5.790850163,1753.585938,-28982.54102,1.098795891,-6.78E-06,0.000380048,-11.75056076,4.356500149,183.2704315,18.25741577,1017.664551,0.017624315,206,13529,5128,14,0,9,0,50,9,50,0,9,0,9,14,0,0,0,0,0,0,88,0,0,0,60,37,0,0,40,0,0,30,16,0,0,0,0,0,0,0,0,0,0,0,0,33,21.0167923,0,0,0,0,0,0,80,0,0,0,0,20,6,42,22,-20,2,5,1555,55,30,132,107,7,1,36,21,29,3,24,12,20,2,131,27,31,31,29,31,29,0,969,197,6740,27.47050095,251,0,0,50,5,14,130,0,60,0,0,40,0,0,0,0,0
248,217,215,-64.982,6.247,10.173,1.4,4.27,269.4445824,0.847121358,1.570735455,5.856366158,700254,-22377.33789,13.52488232,-2.28E-06,0.000152691,-14.00906944,3.948561192,90.71054077,178.7340393,970.498291,0.155524716,264,12372,5098,2,0,2,0,0,2,100,0,2,0,2,2,0,0,0,0,0,0,2227,20,0,0,0,67,0,0,0,0,0,40,1,60,0,0,20,0,0,0,0,0,0,0,1,30,21.37416458,100,0,0,0,0,0,0,0,0,0,0,0,6,29,24,2,NA,NA,1502,100,71,386,325,40,1,26,19,23,2,24,9,21,3,90,22,24,25,22,25,24,0,2648,296,2297,26.82699966,268,20,0,42,1,2,145,0,0,0,0,0,0,0.914300025,60,0,0
128,251,248,-69.292,7.327,11.097,1.45,4.83,88.36111593,1.225838542,1.563024521,0.288974315,3943.588379,691.1040649,20.29724503,-1.43E-06,7.47E-05,-10.64156151,2.935604572,82.29742432,6.063690186,530.6103516,0.011298646,90,15682,4936,9,0,9,0,100,9,0,0,8,0,9,9,0,0,0,0,0,0,204,0,0,0,0,72,0,0,0,0,0,30,18,0,30,4,0,0,0,0,0,45,0,25,0,34,20.73298836,0,0,0,0,0,20,80,0,0,0,0,0,1,21,10,2,NA,NA,1570,34,58,272,203,0,1,36,22,29,4,25,20,23,1,134,28,34,32,25,26,27,0,1693,89,5272,28.17250061,273,0,0,22,3,8,111,0,0,0,0,0,0,2.288000107,0,30,0
76,252,249,-67.622,7.877,15.433,1.4,6.48,50.25000282,2.019026756,1.558642745,1.448952913,-677.3833618,-582.1991577,-7.37949419,9.90E-07,0.00010056,-9.362143517,3.467071056,49.52155685,0.72844696,252.8098145,0.002873124,50,12024,4345,14,0,14,0,100,9,0,0,9,0,9,9,0,0,0,0,0,0,76,0,0,0,45,72,0,0,55,0,0,30,18,0,0,4,0,0,0,0,0,0,0,0,0,34,20.67318153,0,0,0,0,0,0,60,0,0,0,0,40,1,16,7,-19,-3,5,1570,26,29,264,222,0,1,36,25,29,3,26,21,22,1,140,30,36,33,28,29,29,0,1618,51,5468,28.41950035,273,0,0,21,5,9,111,0,45,0,0,55,0,1.16050005,0,0,0
124,262,259,-68.982,8.997,15.597,1.4,6.55,86.80555551,2.349592447,1.562674999,2.260332346,3045.424072,1369.981201,3.353857756,1.74E-06,0.000644262,-7.675886631,5.265869141,85.44768524,1.357872009,546.53125,0.00247837,86,12097,3892,12,0,12,0,0,12,0,0,12,0,12,12,100,0,0,0,0,0,155,0,0,0,50,72,0,0,25,0,0,140,18,0,0,0,0,25,0,0,0,0,0,0,0,34,20.70670128,0,0,0,0,0,0,0,0,0,100,0,0,1,14,8,-17,1,4,1570,49,43,276,198,0,1,40,20,30,4,25,20,23,1,135,33,37,30,26,28,31,0,1698,87,6000,28.18549919,276,0,0,50,9,12,111,0,50,0,0,25,0,2.41689992,0,0,25
